source_id,title,source_url,archive_url,license,language,hash,ocr_status,related_pi,quotability,privacy,ingested_date
src-sfaa-G-1498,【繪本】《希兒與皮帝的神奇之旅 臺灣手語繪本》結合擴增實境使用說明,https://crpd.sfaa.gov.tw/BulletinCtrl?func=getBulletin&p=b_2&c=G&bulletinId=1498,,衛福部社家署 CRPD 官網,zh-TW,,complete,PI-08,1,public,2026-05-04
src-sfaa-G-1521,【繪本】《希兒與皮帝的神奇之旅：臺灣手語繪本》身心障礙者權利公約（CRPD）繪本,https://crpd.sfaa.gov.tw/BulletinCtrl?func=getBulletin&p=b_2&c=G&bulletinId=1521,,衛福部社家署 CRPD 官網,zh-TW,,complete,PI-08,1,public,2026-05-04
src-sfaa-G-1624,【繪本】《停電了，別害怕！》身心障礙者權利公約（CRPD）繪本,https://crpd.sfaa.gov.tw/BulletinCtrl?func=getBulletin&p=b_2&c=G&bulletinId=1624,,衛福部社家署 CRPD 官網,zh-TW,,complete,PI-01,1,public,2026-05-04
src-sfaa-G-1702,【宣導海報】導盲幼犬宣導海報,https://crpd.sfaa.gov.tw/BulletinCtrl?func=getBulletin&p=b_2&c=G&bulletinId=1702,,衛福部社家署 CRPD 官網,zh-TW,,complete,PI-08,1,public,2026-05-04
src-sfaa-G-1774,【公告】政府宣導素材應注意之可及性格式,https://crpd.sfaa.gov.tw/BulletinCtrl?func=getBulletin&p=b_2&c=G&bulletinId=1774,,衛福部社家署 CRPD 官網,zh-TW,,complete,"PI-05,PI-08",1,public,2026-05-04
src-sfaa-G-1781,【出版品】多元尊重的視角,https://crpd.sfaa.gov.tw/BulletinCtrl?func=getBulletin&p=b_2&c=G&bulletinId=1781,,衛福部社家署 CRPD 官網,zh-TW,,complete,PI-01,1,public,2026-05-04
src-sfaa-G-1801,【繪本】《每一個都要到》臺灣手語繪本結合擴增實境使用說明,https://crpd.sfaa.gov.tw/BulletinCtrl?func=getBulletin&p=b_2&c=G&bulletinId=1801,,衛福部社家署 CRPD 官網,zh-TW,,complete,PI-08,1,public,2026-05-04
src-sfaa-G-1828,【宣導海報】國際障礙者日-自閉症主題海報,https://crpd.sfaa.gov.tw/BulletinCtrl?func=getBulletin&p=b_2&c=G&bulletinId=1828,,衛福部社家署 CRPD 官網,zh-TW,,complete,"PI-11,PI-16",1,public,2026-05-04
src-sfaa-G-1841,【研究報告】「臺灣心智障礙者易讀服務發展與服務模式之研究」成果報告,https://crpd.sfaa.gov.tw/BulletinCtrl?func=getBulletin&p=b_2&c=G&bulletinId=1841,,衛福部社家署 CRPD 官網,zh-TW,,complete,"PI-01,PI-08,PI-10,PI-11",1,public,2026-05-04
src-sfaa-G-1909,【繪本Q&A互動簡報】身心障礙者權利公約（CRPD）繪本Q&A互動簡報,https://crpd.sfaa.gov.tw/BulletinCtrl?func=getBulletin&p=b_2&c=G&bulletinId=1909,,衛福部社家署 CRPD 官網,zh-TW,,complete,PI-08,1,public,2026-05-04
src-sfaa-G-1911,【宣導短片】隱性障礙者宣導影片（公車篇）,https://crpd.sfaa.gov.tw/BulletinCtrl?func=getBulletin&p=b_2&c=G&bulletinId=1911,,衛福部社家署 CRPD 官網,zh-TW,,complete,"PI-03,PI-16",1,public,2026-05-04
src-sfaa-G-1990,【轉知】易讀版資訊-反詐騙易讀版、同儕支持員職前培訓手冊易讀版電子書 (財團法人伊甸社會福利基金會),https://crpd.sfaa.gov.tw/BulletinCtrl?func=getBulletin&p=b_2&c=G&bulletinId=1990,,衛福部社家署 CRPD 官網,zh-TW,,complete,PI-08,1,public,2026-05-04
src-sfaa-G-2001,【宣導海報】身心障礙者權利公約CRPD-環境無礙共經營，資訊可及齊參與,https://crpd.sfaa.gov.tw/BulletinCtrl?func=getBulletin&p=b_2&c=G&bulletinId=2001,,衛福部社家署 CRPD 官網,zh-TW,,complete,PI-08,1,public,2026-05-04
src-sfaa-G-201,【宣導海報】身心障礙者權利公約（CRPD）分眾海報,https://crpd.sfaa.gov.tw/BulletinCtrl?func=getBulletin&p=b_2&c=G&bulletinId=201,,衛福部社家署 CRPD 官網,zh-TW,,complete,PI-01,1,public,2026-05-04
src-sfaa-G-2018,身心障礙者權利公約（CRPD）宣導資源包,https://crpd.sfaa.gov.tw/BulletinCtrl?func=getBulletin&p=b_2&c=G&bulletinId=2018,,衛福部社家署 CRPD 官網,zh-TW,,complete,PI-01,1,public,2026-05-04
src-sfaa-G-202,【宣導海報】身心障礙者權利公約（CRPD）簡介折頁 （2017年版）,https://crpd.sfaa.gov.tw/BulletinCtrl?func=getBulletin&p=b_2&c=G&bulletinId=202,,衛福部社家署 CRPD 官網,zh-TW,,complete,PI-01,1,public,2026-05-04
src-sfaa-G-47,【LOGO標誌】身心障礙者權利公約（CRPD）LOGO,https://crpd.sfaa.gov.tw/BulletinCtrl?func=getBulletin&p=b_2&c=G&bulletinId=47,,衛福部社家署 CRPD 官網,zh-TW,,complete,PI-01,1,public,2026-05-04
src-sfaa-G-742,【繪本 宣導短片】《希兒與皮帝的神奇之旅》繪本短片-身心障礙者權利公約（CRPD）繪本,https://crpd.sfaa.gov.tw/BulletinCtrl?func=getBulletin&p=b_2&c=G&bulletinId=742,,衛福部社家署 CRPD 官網,zh-TW,,complete,PI-01,1,public,2026-05-04
src-sfaa-G-842,【繪本】《每一個都要到 臺灣手語繪本》身心障礙者權利公約（CRPD）繪本,https://crpd.sfaa.gov.tw/BulletinCtrl?func=getBulletin&p=b_2&c=G&bulletinId=842,,衛福部社家署 CRPD 官網,zh-TW,,complete,"PI-08,PI-12",1,public,2026-05-04
src-sfaa-G-902,【出版品】身心障礙者融合式會議及活動參考指引(2024年10月第三次修訂),https://crpd.sfaa.gov.tw/BulletinCtrl?func=getBulletin&p=b_2&c=G&bulletinId=902,,衛福部社家署 CRPD 官網,zh-TW,,complete,"PI-03,PI-08",1,public,2026-05-04
src-sfaa-H-1381,行政院身心障礙者權益推動小組處理涉及違反身心障礙者權利公約申訴案件作業原則,https://crpd.sfaa.gov.tw/BulletinCtrl?func=getBulletin&p=b_2&c=H&bulletinId=1381,,衛福部社家署 CRPD 官網,zh-TW,,complete,PI-05,1,public,2026-05-04
src-sfaa-H-46,行政院身心障礙者權益推動小組設置要點,https://crpd.sfaa.gov.tw/BulletinCtrl?func=getBulletin&p=b_2&c=H&bulletinId=46,,衛福部社家署 CRPD 官網,zh-TW,,complete,"PI-05,PI-07,PI-08",1,public,2026-05-04
src-sfaa-H-941,各單位陳情資訊,https://crpd.sfaa.gov.tw/BulletinCtrl?func=getBulletin&p=b_2&c=H&bulletinId=941,,衛福部社家署 CRPD 官網,zh-TW,,complete,PI-05,1,public,2026-05-04
src-sfaa-K-1539,臺灣易讀參考指南-讓資訊易讀易懂,https://crpd.sfaa.gov.tw/BulletinCtrl?func=getBulletin&p=b_2&c=K&bulletinId=1539,,衛福部社家署 CRPD 官網,zh-TW,,complete,PI-08,1,public,2026-05-04
src-sfaa-K-1607,國立故宮博物院易讀標誌,https://crpd.sfaa.gov.tw/BulletinCtrl?func=getBulletin&p=b_2&c=K&bulletinId=1607,,衛福部社家署 CRPD 官網,zh-TW,,complete,PI-08,1,public,2026-05-04
